WEP,r,k,Result
1,0.88,1,1
1,0.88,2,1.88
1,0.88,3,2.7744
1,0.88,4,3.667072
1,0.88,5,4.55995136
1,0.88,6,5.4528058368
1,0.88,7,6.34566329958
1,0.88,8,7.23852040405
1,0.88,9,8.13137755151
1,0.88,10,9.02423469382
1,0.89,1,1
1,0.89,2,1.89
1,0.89,3,2.7921
1,0.89,4,3.692869
1,0.89,5,4.59378441
1,0.89,6,5.4946837149
1,0.89,7,6.39558479136
1,0.89,8,7.29648567295
1,0.89,9,8.19738657598
1,0.89,10,9.09828747664
1,0.9,1,1
1,0.9,2,1.9
1,0.9,3,2.81
1,0.9,4,3.719
1,0.9,5,4.6281
1,0.9,6,5.53719
1,0.9,7,6.446281
1,0.9,8,7.3553719
1,0.9,9,8.26446281
1,0.9,10,9.173553719
1,0.91,1,1
1,0.91,2,1.91
1,0.91,3,2.8281
1,0.91,4,3.745471
1,0.91,5,4.66290761
1,0.91,6,5.5803383151
1,0.91,7,6.49776955164
1,0.91,8,7.41520074035
1,0.91,9,8.33263193337
1,0.91,10,9.250063126
1,0.92,1,1
1,0.92,2,1.92
1,0.92,3,2.8464
1,0.92,4,3.772288
1,0.92,5,4.69821696
1,0.92,6,5.6241426432
1,0.92,7,6.55006858854
1,0.92,8,7.47599451292
1,0.92,9,8.40192043897
1,0.92,10,9.32784636488
1,0.93,1,1
1,0.93,2,1.93
1,0.93,3,2.8649
1,0.93,4,3.799457
1,0.93,5,4.73403801
1,0.93,6,5.6686173393
1,0.93,7,6.60319678625
1,0.93,8,7.53777622496
1,0.93,9,8.47235566425
1,0.93,10,9.4069351035
1,0.94,1,1
1,0.94,2,1.94
1,0.94,3,2.8836
1,0.94,4,3.826984
1,0.94,5,4.77038096
1,0.94,6,5.7137771424
1,0.94,7,6.65717337146
1,0.94,8,7.60056959771
1,0.94,9,8.54396582414
1,0.94,10,9.48736205055
1,0.95,1,1
1,0.95,2,1.95
1,0.95,3,2.9025
1,0.95,4,3.854875
1,0.95,5,4.80725625
1,0.95,6,5.7596371875
1,0.95,7,6.71201814063
1,0.95,8,7.66439909297
1,0.95,9,8.61678004535
1,0.95,10,9.56916099773
1,0.96,1,1
1,0.96,2,1.96
1,0.96,3,2.9216
1,0.96,4,3.883136
1,0.96,5,4.84467456
1,0.96,6,5.8062130176
1,0.96,7,6.7677514793
1,0.96,8,7.72928994083
1,0.96,9,8.69082840237
1,0.96,10,9.65236686391
1,0.97,1,1
1,0.97,2,1.97
1,0.97,3,2.9409
1,0.97,4,3.911773
1,0.97,5,4.88264681
1,0.97,6,5.8535205957
1,0.97,7,6.82439438213
1,0.97,8,7.79526816854
1,0.97,9,8.76614195494
1,0.97,10,9.73701574135
1,0.98,1,1
1,0.98,2,1.98
1,0.98,3,2.9604
1,0.98,4,3.940792
1,0.98,5,4.92118416
1,0.98,6,5.9015763168
1,0.98,7,6.88196847366
1,0.98,8,7.86236063053
1,0.98,9,8.84275278739
1,0.98,10,9.82314494425
1,0.99,1,1
1,0.99,2,1.99
1,0.99,3,2.9801
1,0.99,4,3.970199
1,0.99,5,4.96029801
1,0.99,6,5.9503970199
1,0.99,7,6.9404960298
1,0.99,8,7.9305950397
1,0.99,9,8.9206940496
1,0.99,10,9.9107930595
2,0.88,1,1
2,0.88,2,1.8184
2,0.88,3,2.650192
2,0.88,4,3.48037696
2,0.88,5,4.3107547648
2,0.88,6,5.14110942822
2,0.88,7,5.97146686861
2,0.88,8,6.80182397577
2,0.88,9,7.63218112291
2,0.88,10,8.46253826525
2,0.89,1,1
2,0.89,2,1.8277
2,0.89,3,2.666653
2,0.89,4,3.50436817
2,0.89,5,4.3422195013
2,0.89,6,5.18005585486
2,0.89,7,6.01789385597
2,0.89,8,6.85573167584
2,0.89,9,7.69356951566
2,0.89,10,8.53140735328
2,0.9,1,1
2,0.9,2,1.837
2,0.9,3,2.6833
2,0.9,4,3.52867
2,0.9,5,4.374133
2,0.9,6,5.2195867
2,0.9,7,6.06504133
2,0.9,8,6.910495867
2,0.9,9,7.7559504133
2,0.9,10,8.60140495867
2,0.91,1,1
2,0.91,2,1.8463
2,0.91,3,2.700133
2,0.91,4,3.55328803
2,0.91,5,4.4065040773
2,0.91,6,5.25971463304
2,0.91,7,6.11292568303
2,0.91,8,6.96613668853
2,0.91,9,7.81934769803
2,0.91,10,8.67255870718
2,0.92,1,1
2,0.92,2,1.8556
2,0.92,3,2.717152
2,0.92,4,3.57822784
2,0.92,5,4.4393417728
2,0.92,6,5.30045265818
2,0.92,7,6.16156378735
2,0.92,8,7.02267489701
2,0.92,9,7.88378600824
2,0.92,10,8.74489711934
2,0.93,1,1
2,0.93,2,1.8649
2,0.93,3,2.734357
2,0.93,4,3.60349501
2,0.93,5,4.4726553493
2,0.93,6,5.34181412555
2,0.93,7,6.21097301121
2,0.93,8,7.08013188922
2,0.93,9,7.94929076775
2,0.93,10,8.81844964626
2,0.94,1,1
2,0.94,2,1.8742
2,0.94,3,2.751748
2,0.94,4,3.62909512
2,0.94,5,4.5064542928
2,0.94,6,5.38381274243
2,0.94,7,6.26117123545
2,0.94,8,7.13852972587
2,0.94,9,8.01588821645
2,0.94,10,8.89324670701
2,0.95,1,1
2,0.95,2,1.8835
2,0.95,3,2.769325
2,0.95,4,3.65503375
2,0.95,5,4.5407483125
2,0.95,6,5.42646258438
2,0.95,7,6.31217687078
2,0.95,8,7.19789115646
2,0.95,9,8.08360544218
2,0.95,10,8.96931972789
2,0.96,1,1
2,0.96,2,1.8928
2,0.96,3,2.787088
2,0.96,4,3.68131648
2,0.96,5,4.5755473408
2,0.96,6,5.46977810637
2,0.96,7,6.36400887575
2,0.96,8,7.25823964497
2,0.96,9,8.1524704142
2,0.96,10,9.04670118343
2,0.97,1,1
2,0.97,2,1.9021
2,0.97,3,2.805037
2,0.97,4,3.70794889
2,0.97,5,4.6108615333
2,0.97,6,5.513774154
2,0.97,7,6.41668677538
2,0.97,8,7.31959939674
2,0.97,9,8.2225120181
2,0.97,10,9.12542463946
2,0.98,1,1
2,0.98,2,1.9114
2,0.98,3,2.823172
2,0.98,4,3.73493656
2,0.98,5,4.6467012688
2,0.98,6,5.55846597462
