WEP,r,k,Result
1,0.88,1,1
1,0.88,2,1.88
1,0.88,3,2.7744
1,0.88,4,3.667072
1,0.88,5,4.55995136
1,0.88,6,5.4528058368
1,0.88,7,6.34566329958
1,0.88,8,7.23852040405
1,0.88,9,8.13137755151
1,0.88,10,9.02423469382
1,0.89,1,1
1,0.89,2,1.89
1,0.89,3,2.7921
1,0.89,4,3.692869
1,0.89,5,4.59378441
1,0.89,6,5.4946837149
1,0.89,7,6.39558479136
1,0.89,8,7.29648567295
1,0.89,9,8.19738657598
1,0.89,10,9.09828747664
1,0.9,1,1
1,0.9,2,1.9
1,0.9,3,2.81
1,0.9,4,3.719
1,0.9,5,4.6281
1,0.9,6,5.53719
1,0.9,7,6.446281
1,0.9,8,7.3553719
1,0.9,9,8.26446281
1,0.9,10,9.173553719
1,0.91,1,1
1,0.91,2,1.91
1,0.91,3,2.8281
1,0.91,4,3.745471
1,0.91,5,4.66290761
1,0.91,6,5.5803383151
1,0.91,7,6.49776955164
1,0.91,8,7.41520074035
1,0.91,9,8.33263193337
1,0.91,10,9.250063126
1,0.92,1,1
1,0.92,2,1.92
1,0.92,3,2.8464
1,0.92,4,3.772288
1,0.92,5,4.69821696
1,0.92,6,5.6241426432
1,0.92,7,6.55006858854
1,0.92,8,7.47599451292
1,0.92,9,8.40192043897
1,0.92,10,9.32784636488
1,0.93,1,1
1,0.93,2,1.93
1,0.93,3,2.8649
1,0.93,4,3.799457
1,0.93,5,4.73403801
1,0.93,6,5.6686173393
1,0.93,7,6.60319678625
1,0.93,8,7.53777622496
1,0.93,9,8.47235566425
1,0.93,10,9.4069351035
1,0.94,1,1
1,0.94,2,1.94
1,0.94,3,2.8836
1,0.94,4,3.826984
1,0.94,5,4.77038096
1,0.94,6,5.7137771424
1,0.94,7,6.65717337146
1,0.94,8,7.60056959771
1,0.94,9,8.54396582414
1,0.94,10,9.48736205055
1,0.95,1,1
1,0.95,2,1.95
1,0.95,3,2.9025
1,0.95,4,3.854875
1,0.95,5,4.80725625
1,0.95,6,5.7596371875
1,0.95,7,6.71201814063
1,0.95,8,7.66439909297
1,0.95,9,8.61678004535
1,0.95,10,9.56916099773
1,0.96,1,1
1,0.96,2,1.96
1,0.96,3,2.9216
1,0.96,4,3.883136
1,0.96,5,4.84467456
1,0.96,6,5.8062130176
1,0.96,7,6.7677514793
1,0.96,8,7.72928994083
1,0.96,9,8.69082840237
1,0.96,10,9.65236686391
1,0.97,1,1
1,0.97,2,1.97
1,0.97,3,2.9409
1,0.97,4,3.911773
1,0.97,5,4.88264681
1,0.97,6,5.8535205957
1,0.97,7,6.82439438213
1,0.97,8,7.79526816854
1,0.97,9,8.76614195494
1,0.97,10,9.73701574135
1,0.98,1,1
1,0.98,2,1.98
1,0.98,3,2.9604
1,0.98,4,3.940792
1,0.98,5,4.92118416
1,0.98,6,5.9015763168
1,0.98,7,6.88196847366
1,0.98,8,7.86236063053
1,0.98,9,8.84275278739
1,0.98,10,9.82314494425
1,0.99,1,1
1,0.99,2,1.99
1,0.99,3,2.9801
1,0.99,4,3.970199
1,0.99,5,4.96029801
1,0.99,6,5.9503970199
1,0.99,7,6.9404960298
1,0.99,8,7.9305950397
1,0.99,9,8.9206940496
1,0.99,10,9.9107930595
2,0.88,1,1
2,0.88,2,1.8184
2,0.88,3,2.59196656
2,0.88,4,3.3099935319
2,0.88,5,3.97791373184
2,0.88,6,4.59906220683
2,0.88,7,5.17673222047
2,0.88,8,5.71396511755
2,0.88,9,6.2135917359
2,0.88,10,6.67824448828
2,0.89,1,1
2,0.89,2,1.8277
2,0.89,3,2.60792629
2,0.89,4,3.33246614053
2,0.89,5,4.00639772382
2,0.89,6,4.63314289215
2,0.89,7,5.21601704488
2,0.89,8,5.75808988967
2,0.89,9,6.26221764731
2,0.89,10,6.73105646069
2,0.9,1,1
2,0.9,2,1.837
2,0.9,3,2.624059
2,0.9,4,3.355219513
2,0.9,5,4.03527359529
2,0.9,6,4.66771693494
2,0.9,7,5.2558898878
2,0.9,8,5.80289067379
2,0.9,9,6.31160141036
2,0.9,10,6.78470239485
2,0.91,1,1
2,0.91,2,1.8463
2,0.91,3,2.64036469
2,0.91,4,3.37825847545
2,0.91,5,4.06454877561
2,0.91,6,4.70279464678
2,0.91,7,5.29636365081
2,0.91,8,5.84838279578
2,0.91,9,6.36176060301
2,0.91,10,6.83920196354
2,0.92,1,1
2,0.92,2,1.8556
2,0.92,3,2.65684336
2,0.92,4,3.40158785402
2,0.92,5,4.09423087366
2,0.92,6,4.7383866023
2,0.92,7,5.33745159954
2,0.92,8,5.89458203435
2,0.92,9,6.41271333967
2,0.92,10,6.89457545354
2,0.93,1,1
2,0.93,2,1.8649
2,0.93,3,2.67349501
2,0.93,4,3.42521247485
2,0.93,5,4.12432767789
2,0.93,6,4.77450364747
2,0.93,7,5.3791673753
2,0.93,8,5.94150463722
2,0.93,9,6.46447829114
2,0.93,10,6.95084378926
2,0.94,1,1
2,0.94,2,1.8742
2,0.94,3,2.69031964
2,0.94,4,3.44913716409
2,0.94,5,4.15484715624
2,0.94,6,4.81115690798
2,0.94,7,5.42152500728
2,0.94,8,5.98916733795
2,0.94,9,6.51707470556
2,0.94,10,7.00802855744
2,0.95,1,1
2,0.95,2,1.8835
2,0.95,3,2.70731725
2,0.95,4,3.47336674788
2,0.95,5,4.18579745622
2,0.95,6,4.84835779759
2,0.95,7,5.46453892516
2,0.95,8,6.03758737334
2,0.95,9,6.57052243016
2,0.95,10,7.06615203301
2,0.96,1,1
2,0.96,2,1.8928
2,0.96,3,2.72448784
2,0.96,4,3.49790605235
2,0.96,5,4.21718690485
2,0.96,6,4.88611802644
2,0.96,7,5.50822397217
2,0.96,8,6.08678250159
2,0.96,9,6.62484193396
2,0.96,10,7.12523720607
2,0.97,1,1
2,0.97,2,1.9021
2,0.97,3,2.74183141
2,0.97,4,3.52275990366
2,0.97,5,4.24902400869
2,0.97,6,4.92444960946
2,0.97,7,5.55259541865
2,0.97,8,6.13677102118
2,0.97,9,6.68005433153
2,0.97,10,7.18530781016
2,0.98,1,1
2,0.98,2,1.9114
2,0.98,3,2.75934796
2,0.98,4,3.54793312794
